bigram,bigram_tag,bigram_lemma,bigram_lemma_tag,w1_freq,w2_freq,bigram_freq,tp_b,tp_d,log_lklhd,dice,moddice,t_score,z_score,mi_score,mi3_score,g_score,delta_p12,delta_p21,w1_freq_lemma,w2_freq_lemma,bigram_freq_lemma,tp_b_lemma,tp_d_lemma,log_lklhd_lemma,dice_lemma,moddice_lemma,t_score_lemma,z_score_lemma,mi_score_lemma,mi3_score_lemma,g_score_lemma,delta_p12_lemma,delta_p21_lemma,W1,W2,log_bigram_freq,Participle,SemanticSim,Plural,W1_lemma,W2_lemma,ItemID
experienced teachers,experienced_jjvvn teachers_nn2,experienced teacher,experienced_j teacher_n,679,66466,15,2.26E-04,0.022091311,52.2130003,4.47E-04,-7.221211161,46.6182666,46.61474837,7.198468389,15.01224958,-2.578863758,2.24E-04,0.021940938,6577,131171,336,0.00256,0.051087122,1220.180392,0.004878474,0.712962999,239.0794315,239.0453107,7.427188668,24.21182351,3.599073906,0.002547415,0.05079105,experienced,teachers,2.708050201,3,1,2,experienced_j,teacher_n,056_experienced_teacher_02
extensive interviews,extensive_jj interviews_nn2,extensive interview,extensive_j interview_n,12046,14324,73,0.0051,0.006060103,268.9580526,0.005536595,-1.306960833,116.2001251,116.1998054,7.546585683,19.9262348,1.328202642,0.005069247,0.006027853,12406,47366,114,0.00241,0.009189102,343.4539194,0.003814495,-1.201402168,97.70719605,97.70320753,6.421749853,20.08752988,1.594660656,0.002378971,0.009082172,extensive,interviews,4.290459441,2,1,2,extensive_j,interview_n,057_extensive_interview_01
extensive network,extensive_jj network_nn1,extensive network,extensive_j network_n,12046,27997,85,0.00304,0.007056284,275.1550369,0.004245436,-1.470480571,96.4253712,96.4235756,6.79931424,19.61809611,1.465915175,0.003008971,0.00699312,12406,50041,99,0.00198,0.00798001,281.5530558,0.003170689,-1.671631405,82.34095793,82.33731739,6.138957682,19.39767092,1.739946054,0.001950525,0.007866992,extensive,network,4.442651256,2,1,1,extensive_j,network_n,058_extensive_network_02
faint mist,faint_jj mist_nn1,faint mist,faint_j mist_n,4901,3101,8,0.00258,0.00163232,30.96186447,0.0019995,-5.966144913,42.95287085,42.95295702,7.861796229,13.86179623,-3.082191165,0.00256874,0.001625321,7283,4219,10,0.00237,0.001373061,34.5468111,0.001738828,-5.845740933,37.6596489,37.65977695,7.168100064,13.81195625,-2.801236721,0.002353772,0.001363536,faint,mist,2.079441542,2,1,1,faint_j,mist_n,059_faint_mist_01
faint shadows,faint_jj shadows_nn2,faint shadow,faint_j shadow_n,4901,8856,7,7.90E-04,0.00142828,19.95246983,0.001017664,-7.13316843,22.02249857,22.02239374,6.155229455,11.7699393,-3.557841326,7.79E-04,0.001408255,7283,24451,29,0.00119,0.003981876,82.93749619,0.001827693,-4.237779771,45.04887281,45.04796262,6.169232487,15.88519448,-1.255614411,0.00116963,0.00392661,faint,shadows,1.945910149,2,1,2,faint_j,shadow_n,060_faint_shadow_02
festive distribution,festive_jj distribution_nn1,festive distribution,festive_j distribution_n,1551,14231,5,3.51E-04,0.003223727,15.71261406,6.34E-04,-8.302136235,22.14892615,22.14860118,6.645370173,11.28922636,-4.177184546,3.48E-04,0.003191534,1660,16558,8,4.83E-04,0.004819277,26.8723917,8.78E-04,-7.153076966,31.82795316,31.8274073,7.006966141,13.00696614,-3.22576401,4.79E-04,0.004781826,festive,distribution,1.609437912,3,1,1,festive_j,distribution_n,061_festive_distribution_01
festive gathering,festive_jj gathering_nn1,festive gathering,festive_j gathering_n,1551,3092,6,0.00194,0.003868472,27.72458649,0.002584536,-6.010916564,57.49179542,57.49169445,9.110829397,14.2807544,-3.716381026,0.001936995,0.003861489,1660,7293,11,0.00151,0.006626506,47.789711,0.002457277,-5.209292234,66.29321064,66.29278539,8.649341885,15.56820512,-2.652669703,0.001504564,0.006610027,festive,gathering,1.791759469,3,1,1,festive_j,gathering_n,062_festive_gathering_02
frigid temperatures,frigid_jj temperatures_nn2,frigid temperature,frigid_j temperature_n,1332,7386,53,0.00718,0.03978979,313.0067482,0.012158752,-0.633940579,355.0611239,355.0586893,11.21713901,22.67297992,0.701996721,0.007172844,0.039773196,1378,25381,63,0.00248,0.045718433,312.1980581,0.004708696,-1.753176735,223.6568085,223.6507181,9.63663293,21.59119278,0.442734761,0.002479196,0.04566114,frigid,temperatures,3.970291914,2,1,2,frigid_j,temperature_n,063_frigid_temperature_01
frigid waters,frigid_jj waters_nn2,frigid water,frigid_j water_n,1332,9118,43,0.00472,0.032282282,238.0895224,0.008229665,-1.498685812,259.2121562,259.2098692,10.61155916,21.46408867,0.209947262,0.00471303,0.032261746,1378,186794,123,6.58E-04,0.089259797,470.4339352,0.001307315,-2.636663435,160.3998653,160.3658888,7.722240214,21.60726922,1.237731917,0.000655638,0.088837376,frigid,waters,3.761200116,2,1,2,frigid_j,water_n,064_frigid_water_02
gorgeous name,gorgeous_jj name_nn1,gorgeous name,gorgeous_j name_n,4829,102587,9,8.77E-05,0.00186374,9.445530891,1.68E-04,-9.372999376,7.441513215,7.440444252,3.005102328,9.344952331,-4.720456049,7.68E-05,0.001631613,5163,137464,9,6.55E-05,0.001743173,7.055190086,1.26E-04,-9.782037589,5.834419375,5.83315166,2.48641127,8.826261273,-4.455952223,5.38E-05,0.001432121,gorgeous,name,2.197224577,2,1,1,gorgeous_j,name_n,065_gorgeous_name_01
gorgeous picture,gorgeous_jj picture_nn1,gorgeous picture,gorgeous_j picture_n,4829,42441,11,2.59E-04,0.002277904,21.11130428,4.65E-04,-7.609774007,15.47141381,15.47068998,4.567926312,11.48678955,-3.57348417,2.48E-04,0.002181888,5163,74300,16,2.15E-04,0.003098973,27.37518597,4.03E-04,-7.277995641,16.24108923,16.23966205,4.204105998,12.204106,-2.738279426,2.04E-04,0.002930874,gorgeous,picture,2.397895273,2,1,1,gorgeous_j,picture_n,066_gorgeous_picture_02
gradual destruction,gradual_jj destruction_nn1,gradual destruction,gradual_j destruction_n,3046,12405,9,7.26E-04,0.002954695,28.67157173,0.001164973,-6.57556259,30.48595991,30.48562887,6.717765131,13.05761513,-3.433989904,7.19E-04,0.002926643,3105,12896,9,6.98E-04,0.002898551,28.22224998,0.00112493,-6.626024447,29.59757041,29.59723374,6.634085891,12.97393589,-3.404006372,6.91E-04,0.002869388,gradual,destruction,2.197224577,1,1,1,gradual_j,destruction_n,067_gradual_destruction_01
gradual introduction,gradual_jj introduction_nn1,gradual introduction,gradual_j introduction_n,3046,8097,11,0.00136,0.003611293,41.00029945,0.001974334,-5.52498684,46.32581218,46.3255431,7.622734101,14.54159734,-3.076046148,0.00135166,0.003592995,3105,12527,11,8.78E-04,0.003542673,36.67275143,0.001407369,-6.013351515,36.78034081,36.7799403,6.965475201,13.88433844,-3.03901687,8.71E-04,0.00351435,gradual,introduction,2.397895273,1,1,1,gradual_j,introduction_n,068_gradual_introduction_02
handy feature,handy_jj feature_nn1,handy feature,handy_j feature_n,3160,11459,22,0.00192,0.006962025,87.9191761,0.003009782,-3.916693771,76.56877085,76.56804445,8.068703718,16.98756696,-1.619040227,0.001912787,0.006936144,3736,36555,30,8.21E-04,0.008029979,93.55003548,0.001489166,-4.484388801,53.40892453,53.40689526,6.601005196,16.41478639,-1.010687728,8.12E-04,0.007947325,handy,feature,3.091042453,2,1,1,handy_j,feature_n,069_handy_feature_01
handy reference,handy_jj reference_nn1,handy reference,handy_j reference_n,3160,12359,25,0.00202,0.007911392,101.049509,0.003221857,-3.634035597,83.79793278,83.79705227,8.144047423,17.4317598,-1.523200659,0.002015723,0.007883481,3736,21883,31,0.00142,0.008297645,111.2632008,0.002420079,-3.736533922,71.64266575,71.64117343,7.388569127,17.29696175,-1.194683569,0.00140824,0.008248195,handy,reference,3.218875825,2,1,1,handy_j,reference_n,070_handy_reference_02
healthy eating,healthy_jj eating_nn1,healthy eating,healthy_j eating_n,24039,3734,262,0.0702,0.010898956,1411.938807,0.018867245,2.3054506,580.8788852,580.8922273,10.333002,26.399848,3.71890665,0.070112236,0.010891099,29390,7592,350,0.0461,0.011908813,1693.933949,0.018928127,2.727886596,491.8465807,491.8587,9.437083567,26.33950579,3.995036795,0.046035443,0.011892423,healthy,eating,5.568344504,3,1,1,healthy_j,eating_n,071_healthy_eating_01
healthy weight,healthy_jj weight_nn1,healthy weight,healthy_j weight_n,24039,39212,234,0.00597,0.009734182,754.9940357,0.007399093,0.791928771,158.7587329,158.755878,6.777442321,22.51817176,2.822185004,0.005913688,0.009645974,29390,45999,270,0.00587,0.009186798,820.5730085,0.007162849,0.951564779,152.6185668,152.615517,6.463637452,22.61726865,2.858023945,0.00580379,0.009083311,healthy,weight,5.455321115,3,1,1,healthy_j,weight_n,072_healthy_weight_02
heightened awareness,heightened_jjvvd awareness_nn1,heightened awareness,heightened_j awareness_n,130,12448,7,5.62E-04,0.053846154,40.03074455,0.001113055,-7.003905076,115.6154314,115.6138184,10.90053524,16.51524508,-4.102410423,5.62E-04,0.053818001,2229,13407,177,0.0132,0.079407806,1063.528875,0.022640061,2.002627231,680.3822121,680.3735991,11.35390029,26.28911139,2.945719431,0.013197415,0.079377868,heightened,awareness,1.945910149,3,1,1,heightened_j,awareness_n,073_heightened_awareness_01
heightened visibility,heightened_jj visibility_nn1,heightened visibility,heightened_j visibility_n,1882,2633,6,0.00228,0.003188098,27.55337906,0.002657807,-5.970585271,56.55487955,56.55483087,9.063594253,14.23351925,-3.242750659,0.002274524,0.003182153,2229,2792,6,0.00215,0.00269179,26.36677074,0.002389962,-6.123834008,50.44108723,50.44105435,8.734872844,13.90479785,-3.337559984,0.002143967,0.002685486,heightened,visibility,1.791759469,3,1,1,heightened_j,visibility_n,074_heightened_visibility_02
hooded parka,hooded_jj parka_nn1,hooded parka,hooded_j parka_n,935,717,18,0.0251,0.019251337,131.3899307,0.021791768,-1.350147969,462.1010987,462.1012126,13.53444761,21.87429761,-0.942795112,0.025102527,0.019249755,1020,968,21,0.0217,0.020588235,149.0190859,0.021126761,-1.172467196,444.2237807,444.2238067,13.19827522,21.98291007,-0.606319644,0.021691954,0.020586092,hooded,parka,2.890371758,1,2,1,hooded_j,parka_n,075_hooded_parka_01
hooded sweatshirts,hooded_jj sweatshirts_nn2,hooded sweatshirt,hooded_j sweatshirt_n,935,297,20,0.0673,0.021390374,163.5261478,0.032467532,-0.622930351,797.8087646,797.8093405,14.95796089,23.60181708,-1.499389004,0.067337997,0.021389748,1020,1391,112,0.0805,0.109803922,929.8419828,0.092907507,3.379293909,1976.552731,1976.551901,15.09026925,28.7049791,2.323517267,0.080515559,0.109801027,hooded,sweatshirts,2.995732274,1,2,2,hooded_j,sweatshirt_n,076_hooded_sweatshirt_02
immediate attention,immediate_jj attention_nn1,immediate attention,immediate_j attention_n,16587,68925,170,0.00247,0.01024899,473.4968662,0.00397605,-0.565057397,104.0837946,104.07738,6.038060308,20.85684218,2.119111835,0.002429293,0.010093398,16857,70623,175,0.00248,0.010381444,485.7128897,0.004000914,-0.514243376,104.9793123,104.9726636,6.021474911,20.92389713,1.72245441,0.00244019,0.01022202,immediate,attention,5.135798437,1,1,1,immediate_j,attention_n,077_immediate_attention_01
immediate problem,immediate_jj problem_nn1,immediate problem,immediate_j problem_n,16587,127063,137,0.00108,0.00825948,285.2298775,0.001907414,-1.936134301,60.54877055,60.54057358,4.844256735,19.0403209,1.538160654,0.00104097,0.007972248,16857,232502,211,9.08E-04,0.012517055,406.4093847,0.001692339,-1.485666371,67.87282817,67.85469843,4.572329873,20.01452825,2.31572866,8.70E-04,0.011991382,immediate,problem,4.919980926,1,1,1,immediate_j,problem_n,078_immediate_problem_02
increased education,increased_jj education_nn1,increased education,increased_j education_n,15926,103154,21,2.04E-04,0.001318599,16.58038235,3.53E-04,-7.076936756,8.963440805,8.962105991,2.497955311,11.28259016,-1.978082823,1.68E-04,0.00108521,20686,130717,35,2.68E-04,0.001691966,27.95199299,4.62E-04,-5.949468233,11.6754986,11.67331315,2.516003153,12.77456919,-1.209701879,2.21E-04,0.00139623,increased,education,3.044522438,2,1,1,increased_j,education_n,079_increased_education_01
increased use,increased_jjvvd use_nn1,increased use,increased_j use_n,1735,83404,26,3.12E-04,0.014985591,76.66101265,6.11E-04,-5.976653088,44.86340221,44.85914841,6.311065286,15.71194472,-1.325779308,3.08E-04,0.014796913,20686,106113,348,0.00328,0.016822972,989.4576988,0.005489002,0.93370315,153.9145113,153.8990986,6.130508998,23.01639599,3.712371393,0.003233489,0.016583624,increased,use,3.258096538,2,1,1,increased_j,use_n,080_increased_use_02
inherent contradiction,inherent_jj contradiction_nn1,inherent contradiction,inherent_j contradiction_n,5529,2297,47,0.0205,0.008500633,261.8756886,0.012011245,-0.824881692,277.0734474,277.0744598,10.67542532,21.78460303,-0.096573565,0.020449066,0.008495541,5645,4547,71,0.0156,0.012577502,377.6354275,0.013932496,-0.015655323,294.3573925,294.3577558,10.25546444,22.55495868,0.6307908,0.015602077,0.012567373,inherent,contradiction,3.850147602,2,1,1,inherent_j,contradiction_n,081_inherent_contradiction_01
inherent risk,inherent_jj risk_nn1,inherent risk,inherent_j risk_n,5529,48531,60,0.00124,0.010851872,188.099968,0.002219756,-2.9084927,76.21972139,76.21592727,6.626643243,18.44042443,-0.238904309,0.001223946,0.010742185,5645,68765,93,0.00135,0.016474756,297.3043337,0.002499664,-2.104891276,98.29064854,98.28348278,6.726188588,19.80450621,0.457643893,0.001339867,0.016319356,inherent,risk,4.094344562,2,1,1,inherent_j,risk_n,082_inherent_risk_02
innovative approaches,innovative_jj approaches_nn2,innovative approach,innovative_j approach_n,6197,7857,88,0.0112,0.01420042,435.4508276,0.012523125,0.140170054,264.7804589,264.7799557,9.641488992,22.56035223,1.842093841,0.011186379,0.014182839,6559,60162,186,0.00309,0.028357981,704.3076429,0.005575456,0.052464331,195.8887504,195.8767409,7.702508215,22.78082584,2.95064759,0.003077229,0.028222259,innovative,approaches,4.477336814,2,1,2,innovative_j,approach_n,083_innovative_approach_01
innovative programs,innovative_jj programs_nn2,innovative program,innovative_j program_n,6197,73147,107,0.00146,0.017266419,340.7348652,0.002697116,-1.792899537,104.6351963,104.6271021,6.704776129,20.1877101,1.899347099,0.001449024,0.017101134,6559,213304,181,8.49E-04,0.02759567,483.8112783,0.00164648,-1.746553539,99.94546527,99.92122399,5.837208704,20.83690048,2.539338103,8.34E-04,0.027113385,innovative,programs,4.672828834,2,1,2,innovative_j,program_n,084_innovative_program_02
left eye,left_jj eye_nn1,left eye,left_j eye_n,23035,42881,722,0.0168,0.031343608,3013.278613,0.021906669,3.983368977,481.4270791,481.4161242,8.33543859,27.32714864,4.024648883,0.016786797,0.031248201,55314,183548,751,0.00409,0.013577033,1647.694368,0.00628815,2.239520364,151.8869755,151.8629462,5.030688647,24.13602684,3.439898367,0.00396805,0.013163328,left,eye,6.582025139,1,1,1,left_j,eye_n,085_left_eye_01
left knee,left_jj knee_nn1,left knee,left_j knee_n,23035,12278,743,0.0605,0.032255264,3939.900019,0.04208082,4.966525032,927.9468909,927.958164,10.18106494,29.25550174,4.178206841,0.060464296,0.03222916,55314,28095,770,0.0274,0.013920526,2952.196282,0.018463235,3.82951383,408.730596,408.7430674,7.774506274,26.95193554,3.603928324,0.027283576,0.013858685,left,knee,6.610696045,1,1,1,left_j,knee_n,086_left_knee_02
lengthy delay,lengthy_jj delay_nn1,lengthy delay,lengthy_j delay_n,3642,4288,8,0.00187,0.002196595,30.77323723,0.002017654,-5.953105151,42.36784617,42.36781338,7.822570074,13.82257007,-3.136182938,0.001857448,0.00218691,3793,11150,27,0.00242,0.007118376,109.066227,0.003613732,-3.357407192,86.96795933,86.96722759,8.140182227,17.64995723,-0.590888134,0.002413002,0.007093205,lengthy,delay,2.079441542,2,1,1,lengthy_j,delay_n,087_lengthy_delay_01
lengthy passage,lengthy_jj passage_nn1,lengthy passage,lengthy_j passage_n,3642,12548,10,7.97E-04,0.002745744,31.12738895,0.00123533,-6.338959175,30.7747574,30.77443816,6.595417545,13.23927373,-2.987968498,7.89E-04,0.002717372,3793,17188,19,0.00111,0.005009228,63.85007763,0.001811162,-4.860940794,49.08295349,49.08219465,7.008864266,15.50471929,-1.439824776,0.001096882,0.004970375,lengthy,passage,2.302585093,2,1,1,lengthy_j,passage_n,088_lengthy_passage_02
literal connection,literal_jj connection_nn1,literal connection,literal_j connection_n,2490,17597,5,2.84E-04,0.002008032,12.77461338,4.98E-04,-8.650118303,15.56390797,15.5636294,5.656130665,10.29998686,-4.794741948,2.79E-04,0.001968223,2526,29235,5,1.71E-04,0.001979414,10.56623745,3.15E-04,-9.311112526,11.82238602,11.82200169,4.903054671,9.546910861,-4.543915984,1.65E-04,0.001913269,literal,connection,1.609437912,1,1,1,literal_j,connection_n,089_literal_connection_01
literal interpretations,literal_jj interpretations_nn2,literal interpretation,literal_j interpretation_n,2490,3863,6,0.00155,0.002409639,24.10195541,0.001888871,-6.463297302,40.52073557,40.52067133,8.106700983,13.27662598,-3.821521473,0.001547576,0.00240091,2526,16344,100,0.00612,0.039588282,521.1355171,0.010598834,0.083905577,326.8622065,326.8570849,10.06391825,23.35163063,1.510610735,0.006112963,0.039551523,literal,interpretations,1.791759469,1,1,2,literal_j,interpretation_n,090_literal_interpretation_02
loyal following,loyal_jj following_nn1@vvg,loyal following,loyal_j following_n,5313,317,36,0.114,0.006775833,256.903758,0.012788632,-1.119069204,583.0737162,583.0770122,13.20544944,23.54529945,0.169761872,0.113552727,0.006775197,5486,1453,143,0.0984,0.026066351,998.9179134,0.041216314,2.559230622,1064.601384,1064.606242,12.95268791,27.27243059,2.423708745,0.098404977,0.026063386,loyal,following,3.583518938,3,1,1,loyal_j,following_n,091_loyal_following_01
loyal subjects,loyal_jj subjects_nn2,loyal subject,loyal_j subject_n,5313,22640,46,0.00203,0.008658009,165.4573603,0.003291239,-2.723591593,87.64733198,87.64558694,7.400839092,18.447963,-0.097019532,0.002019883,0.00860688,5486,64400,64,9.94E-04,0.011666059,189.0806742,0.001831554,-3.092715854,70.68321347,70.67837136,6.322862496,18.3228625,-0.153237045,9.82E-04,0.011520471,loyal,subjects,3.828641396,3,1,2,loyal_j,subject_n,092_loyal_subject_02
mandatory course,mandatory_jj course_nn1,mandatory course,mandatory_j course_n,4777,48145,11,2.28E-04,0.0023027,20.05898285,4.16E-04,-7.772716726,14.52633905,14.52554764,4.401618571,11.32048181,-3.051341312,2.18E-04,0.002193776,5022,69296,16,2.31E-04,0.003185982,28.65985966,4.31E-04,-7.181424057,17.14251616,17.14113029,4.344643701,12.3446437,-2.261645865,2.20E-04,0.003029206,mandatory,course,2.397895273,3,1,1,mandatory_j,course_n,093_mandatory_course_01
mandatory testing,mandatory_jj testing_nn1jj@,mandatory testing,mandatory_j testing_n,4777,1786,13,0.00728,0.002721373,62.31575108,0.003961603,-4.279260281,93.4213267,93.4216423,9.395208663,16.7960881,-2.110085684,0.007268055,0.002717361,5022,15122,148,0.00979,0.029470331,742.9286966,0.014694202,1.120844164,356.5994345,356.5953452,9.750220184,24.16912692,2.853565063,0.009776035,0.029436445,mandatory,testing,2.564949357,3,1,1,mandatory_j,testing_n,094_mandatory_testing_02
mythological scenes,mythological_jj scenes_nn2,mythological scene,mythological_j scene_n,613,12617,7,5.55E-04,0.01141925,30.39963531,0.001058201,-7.076815597,52.7799561,52.77923546,8.643704835,14.25841468,-3.147612647,5.53E-04,0.011390714,633,55427,13,2.35E-04,0.020537125,46.46188545,4.64E-04,-7.373804688,45.85501057,45.85213227,7.355251197,14.75613063,-2.477216224,2.33E-04,0.020411728,mythological,scenes,1.945910149,1,1,2,mythological_j,scene_n,095_mythological_scene_01
mythological terms,mythological_jj terms_nn2,mythological term,mythological_j term_n,613,28116,6,2.13E-04,0.009787928,21.09299374,4.18E-04,-8.640295154,30.1841182,30.18316634,7.265289968,12.43521497,-3.767849811,2.12E-04,0.009724318,633,64956,6,9.24E-05,0.009478673,16.60707092,1.83E-04,-9.831241257,19.36505352,19.36359927,6.010900109,11.18082511,-4.108508309,9.10E-05,0.009331697,mythological,terms,1.791759469,1,1,2,mythological_j,term_n,096_mythological_term_02
naive listeners,naive_jj listeners_nn2,naive listener,naive_j listener_n,3440,4312,6,0.00139,0.001744186,21.85267067,0.001547988,-6.750427854,32.56587118,32.56583726,7.481802659,12.65172766,-4.266360002,0.001383695,0.001734442,3518,6564,6,9.14E-04,0.001705514,19.56080437,0.00119024,-7.129569238,26.0187596,26.01866654,6.843237681,12.01316268,-4.235005916,9.06E-04,0.001690674,naive,listeners,1.791759469,1,1,2,naive_j,listener_n,097_naive_listener_01
naive realist,naive_jj realist_nn1,naive realist,naive_j realist_n,3440,504,5,0.00992,0.001453488,26.73833752,0.002535497,-6.301587647,79.76292786,79.76319276,10.31562979,14.95948598,-4.5844831,0.009912862,0.001452359,3518,1686,7,0.00415,0.001989767,31.99204254,0.002690238,-5.730695403,60.30513394,60.3052585,9.026600805,14.64131065,-3.535455349,0.004143894,0.001985967,naive,realist,1.609437912,1,1,1,naive_j,realist_n,098_naive_realist_02
national debate,national_jj debate_nn1,national debate,national_j debate_n,89906,32822,511,0.0156,0.005683714,1491.809592,0.008327358,2.089254055,195.1631766,195.1755934,6.257848642,24.2522076,4.200694248,0.015366518,0.005610582,181088,41451,549,0.0132,0.003031675,1198.967546,0.004933967,1.437626013,129.0854172,129.1054343,5.014386101,23.21571078,3.852900415,0.012835972,0.00293908,national,debate,6.23636959,1,1,1,national_j,debate_n,099_national_debate_01
national elections,national_jj elections_nn2,national election,national_j election_n,89906,17323,425,0.0245,0.004727159,1408.375191,0.00792696,1.752302453,224.5086526,224.5270205,6.913962546,24.37660061,4.233791331,0.024331361,0.004688913,181088,56599,748,0.0132,0.004130588,1632.523414,0.006293992,2.235085446,150.500996,150.5215887,5.011248566,24.10503749,4.15125049,0.012807636,0.004004151,national,elections,6.052089169,1,1,2,national_j,election_n,100_national_election_02
online magazine,online_jj magazine_nn1,online magazine,online_j magazine_n,11464,28724,149,0.00519,0.012997209,558.0762949,0.007415149,0.143859879,171.745285,171.7418749,7.64355105,22.08188809,2.735323851,0.005161693,0.012932544,19402,42667,185,0.00434,0.009535099,580.0226021,0.005961108,0.141177639,133.7977671,133.7941131,6.625805121,21.68856804,2.784139945,0.004292413,0.009438962,online,magazine,5.003946306,2,1,1,online_j,magazine_n,101_online_magazine_01
online survey,online_jj survey_nn1,online survey,online_j survey_n,11464,23807,129,0.00542,0.011252617,487.9459877,0.007314791,-0.083740348,163.3621896,163.3598659,7.706480619,21.72893513,2.42214713,0.005392923,0.011199034,19402,37166,176,0.00474,0.00907123,565.1486073,0.006222599,0.131164693,136.5015796,136.4987287,6.752992528,21.67185577,2.814117411,0.004692001,0.008987521,online,survey,4.859812404,2,1,1,online_j,survey_n,102_online_survey_02
optimistic statement,optimistic_jj statement_nn1,optimistic statement,optimistic_j statement_n,6793,29869,10,3.35E-04,0.001472104,18.4810791,5.46E-04,-7.51814168,14.08032423,14.0799108,4.44490811,11.0887643,-3.813760644,3.19E-04,0.001404534,6907,46564,19,4.08E-04,0.002750832,37.98947239,7.11E-04,-6.210614011,21.41843159,21.41738063,4.706331101,13.20218613,-2.525259946,3.92E-04,0.002645504,optimistic,statement,2.302585093,1,1,1,optimistic_j,statement_n,103_optimistic_statement_01
optimistic words,optimistic_jj words_nn2,optimistic word,optimistic_j word_n,6793,90240,8,8.87E-05,0.001177683,6.434567451,1.65E-04,-9.566187857,5.614665664,5.613894988,2.527861885,8.527861885,-4.579925986,7.33E-05,9.73E-04,6907,167824,10,5.96E-05,0.001447807,5.219842911,1.14E-04,-9.770919872,4.554808714,4.55336415,1.930669537,8.574525727,-4.633164914,4.40E-05,0.001068053,optimistic,words,2.079441542,1,1,2,optimistic_j,word_n,104_optimistic_word_02
patterned paper,patterned_jj paper_nn1,patterned paper,patterned_j paper_n,839,59646,8,1.34E-04,0.009535161,22.76768112,2.65E-04,-8.884289785,23.43653027,23.43492539,6.1425097,12.1425097,-3.761872764,1.32E-04,0.009400205,1250,81086,10,1.23E-04,0.008,24.33664799,2.43E-04,-8.685379552,20.4014684,20.39953756,5.446224961,12.09008115,-3.391120802,1.21E-04,0.007816532,patterned,paper,2.079441542,2,1,1,patterned_j,paper_n,105_patterned_paper_01
patterned tie,patterned_jj tie_nn1,patterned tie,patterned_j tie_n,839,5745,10,0.00174,0.011918951,50.62860966,0.003037667,-5.040892431,95.64593738,95.6454051,9.840484388,16.48434058,-2.768789973,0.001738768,0.011905973,1250,19118,12,6.28E-04,0.0096,45.98477077,0.001178319,-6.144091702,51.37004284,51.36899423,7.793780607,14.96370561,-2.575165947,6.25E-04,0.009556765,patterned,tie,2.302585093,2,1,1,patterned_j,tie_n,106_patterned_tie_02
planetary positions,planetary_jj positions_nn2,planetary position,planetary_j position_n,2541,16828,11,6.54E-04,0.004329004,35.77813244,0.001135836,-6.322598613,35.05124083,35.05066237,6.828849327,13.74771256,-2.255271262,6.48E-04,0.004290949,3010,82294,11,1.34E-04,0.003654485,19.39011765,2.58E-04,-8.461462535,13.94368128,13.94229096,4.29455869,11.21342193,-3.032118067,1.27E-04,0.003468285,planetary,positions,2.397895273,2,1,2,planetary_j,position_n,107_planetary_position_01
planetary rings,planetary_jj rings_nn2,planetary ring,planetary_j ring_n,2541,3023,9,0.00298,0.003541913,41.07759953,0.003235083,-5.102056702,68.13150596,68.13146791,9.016153549,15.35600355,-2.671580363,0.002971445,0.003535092,3010,23821,15,6.30E-04,0.004983389,46.12486362,0.00111811,-5.897832014,36.83589225,36.83500316,6.530570937,14.34435213,-2.27239342,6.23E-04,0.004929518,planetary,rings,2.197224577,2,1,2,planetary_j,ring_n,108_planetary_ring_02
poetic genius,poetic_jj genius_nn1,poetic genius,poetic_j genius_n,2994,6064,16,0.00264,0.005344021,69.08767319,0.003532789,-4.144976824,78.73437132,78.73409505,8.605261927,16.60526193,-1.863844331,0.002631783,0.005330335,3204,7211,16,0.00222,0.004993758,65.74232864,0.003072492,-4.346375219,69.74627534,69.7459554,8.257532412,16.25753241,-1.766336646,0.002211618,0.004977476,poetic,genius,2.772588722,2,1,1,poetic_j,genius_n,109_poetic_genius_01
poetic style,poetic_jj style_nn1,poetic style,poetic_j style_n,2994,32405,19,5.86E-04,0.006346025,57.3579731,0.001073477,-5.615565958,40.08118905,40.07982087,6.435314665,14.93116969,-1.397230169,5.80E-04,0.006272738,3204,44346,23,5.19E-04,0.007178527,65.68428802,9.67E-04,-5.490033809,39.99510684,39.9931881,6.160561635,15.20768555,-1.012629569,5.11E-04,0.007078227,poetic,style,2.944438979,2,1,1,poetic_j,style_n,110_poetic_style_02
practical affairs,practical_jj affairs_nn2,practical affair,practical_j affair_n,15182,12894,12,9.31E-04,7.90E-04,24.35716248,8.55E-04,-6.607124787,17.36417036,17.36419591,4.759650467,11.92957547,-2.974178715,8.96E-04,7.61E-04,16593,29373,12,4.09E-04,7.23E-04,15.41915798,5.22E-04,-7.318354505,10.37624921,10.37602937,3.443646842,10.61357184,-3.323715717,3.71E-04,6.57E-04,practical,affairs,2.48490665,2,1,2,practical_j,affair_n,111_practical_affair_01
practical matter,practical_jj matter_nn1vv0,practical matter,practical_j matter_n,15182,2694,15,0.00557,9.88E-04,53.38474083,0.001678228,-5.311955138,49.00116987,49.00186041,7.340456695,15.15423789,-2.338194465,0.005533607,9.82E-04,16593,76391,495,0.00648,0.029831857,1794.925153,0.010646993,2.397874561,290.5789925,290.5590391,7.431057002,25.33362643,3.62120263,0.006443386,0.029660105,practical,matter,2.708050201,2,1,1,practical_j,matter_n,112_practical_matter_02
